"ActivityDateTime","Id","ActivityDisplayName","Result","InitiatedByUserPrincipalName","InitiatedByAppDisplayName","TargetUserId","TargetUserPrincipalName"
"2026-01-09T18:03:25Z","86e30c61-5483-09fe-22cb-94331b0ce626","Invite external user","success","yael.nakamura@example.com","Microsoft Entra admin center","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com"
"2026-01-11T10:33:18Z","0c1adfe6-e34f-125c-2cbf-2fc3642abc7c","Invite external user","success","tatum.chaudhry@example.com","Microsoft Entra admin center","67a9f990-a05b-e84e-3c17-8d9ed64f6b65","jordan.lindqvist_partner3.example.com#EXT#@example.onmicrosoft.com"
"2026-01-12T22:03:25Z","ed5c2d2d-19fe-3691-80e0-40c1dce2769f","Redeem external user invite","success","reese.moreau@partner6.example.com","Microsoft Invitation Service","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com"
"2026-01-14T19:17:52Z","4690830c-4166-b5a4-0009-3f7cb2c97cac","Invite external user","success","zephyr.bergstrom@example.com","Microsoft Entra admin center","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com"
"2026-01-15T03:17:52Z","156d52f9-dfe1-4fc5-dee5-3dd36aa1617c","Redeem external user invite","success","reese.ibarra@partner7.example.com","Microsoft Invitation Service","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com"
"2026-01-15T14:36:07Z","acdb0d6e-2da7-e11a-16e2-502d5aa4b97c","Invite external user","success","vale.takahashi@example.com","Microsoft Entra admin center","4e84cc4d-d6d1-248d-50ab-8724b6a35057","blair.jovanovic_partner10.example.com#EXT#@example.onmicrosoft.com"
"2026-01-19T13:07:53Z","6dde2944-3919-ca16-6cbe-bf05bf701fd0","Invite external user","success","oakley.fontaine@example.com","Microsoft Entra admin center","9145356f-c0fc-c57a-28f4-c70beb10e1f5","kai.ibarra_partner2.example.com#EXT#@example.onmicrosoft.com"
"2026-01-19T14:30:04Z","edcf479e-3d70-2b31-305a-33487c321292","Invite external user","success","vale.vasquez@example.com","Microsoft Entra admin center","7fd125a7-29ec-51b4-e4f6-84a2facf791e","harper.rasmussen_partner3.example.com#EXT#@example.onmicrosoft.com"
"2026-01-19T21:07:53Z","4c67c4f8-991e-86e9-075e-e0195f74dc51","Redeem external user invite","success","kai.ibarra@partner2.example.com","Microsoft Invitation Service","9145356f-c0fc-c57a-28f4-c70beb10e1f5","kai.ibarra_partner2.example.com#EXT#@example.onmicrosoft.com"
"2026-01-20T19:36:07Z","f9d68762-7046-d05d-aad0-32971089ec9f","Redeem external user invite","success","blair.jovanovic@partner10.example.com","Microsoft Invitation Service","4e84cc4d-d6d1-248d-50ab-8724b6a35057","blair.jovanovic_partner10.example.com#EXT#@example.onmicrosoft.com"
"2026-01-21T15:16:10Z","0cded02c-f36b-0bcf-bce8-7bbc3cb8c46f","Invite external user","success","noor.zawadzki@example.com","Microsoft Entra admin center","02812435-de63-505c-e3ec-438515b99a26","umi.ibarra_partner10.example.com#EXT#@example.onmicrosoft.com"
"2026-01-22T21:30:04Z","78c8077a-a093-f0ce-a95a-50e3d7388a3e","Redeem external user invite","success","harper.rasmussen@partner3.example.com","Microsoft Invitation Service","7fd125a7-29ec-51b4-e4f6-84a2facf791e","harper.rasmussen_partner3.example.com#EXT#@example.onmicrosoft.com"
"2026-01-23T22:16:10Z","bbe1b0d5-bbd2-795e-0353-09ebd7de4795","Redeem external user invite","success","umi.ibarra@partner10.example.com","Microsoft Invitation Service","02812435-de63-505c-e3ec-438515b99a26","umi.ibarra_partner10.example.com#EXT#@example.onmicrosoft.com"
"2026-01-24T10:38:16Z","66ba4703-3266-7d38-efa8-c31e88ea2b34","Invite external user","success","marlowe.gallagher@example.com","Microsoft Entra admin center","12869724-5830-e031-dc71-3182a3ca73bc","blair.eriksen_partner11.example.com#EXT#@example.onmicrosoft.com"
"2026-01-25T10:33:18Z","f405045c-de56-2c90-7d81-b64e17037f1b","Invite external user with reset invitation status","success","tatum.chaudhry@example.com","Microsoft Entra admin center","67a9f990-a05b-e84e-3c17-8d9ed64f6b65","jordan.lindqvist_partner3.example.com#EXT#@example.onmicrosoft.com"
