"CreatedDateTime","Id","UserId","UserPrincipalName","AppDisplayName","ResourceDisplayName","IpAddress","City","CountryOrRegion","ClientAppUsed","IsInteractive","ErrorCode","ConditionalAccessStatus"
"2026-01-13T07:09:01Z","d4b56105-8088-a344-8e88-ebcd2ab5c60a","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Office 365 SharePoint Online","203.0.113.223","Toronto","CA","Mobile Apps and Desktop clients","True","0","success"
"2026-01-13T09:25:42Z","e68b0c36-56f4-495d-0995-effb684efaff","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","Microsoft Teams","Microsoft Teams Services","203.0.113.100","Toronto","CA","Browser","False","0","notApplied"
"2026-01-14T10:20:25Z","c9d0bd07-e4ad-16fa-87a9-206cb7f7b58c","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Microsoft Graph","203.0.113.164","Toronto","CA","Mobile Apps and Desktop clients","True","0","success"
"2026-01-15T13:55:12Z","f03fb786-f7c9-fec6-a4ac-e2ee82c7fe78","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Office 365 SharePoint Online","203.0.113.141","Sydney","AU","Mobile Apps and Desktop clients","False","0","success"
"2026-01-15T19:50:28Z","4f4ce3b0-d66f-fca4-3566-f29c9ca13a6b","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Windows Azure Active Directory","203.0.113.217","Sydney","AU","Browser","True","0","notApplied"
"2026-01-16T14:36:31Z","f18fb72f-77aa-cfdb-4220-c898af767d06","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Microsoft Office","Windows Azure Active Directory","203.0.113.37","Sydney","AU","Browser","False","0","notApplied"
"2026-01-19T18:16:58Z","06ea111d-3a83-b751-549e-6c68a52e64d6","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Microsoft Graph","203.0.113.150","Toronto","CA","Browser","True","0","success"
"2026-01-21T14:00:59Z","6ff18f8a-20a2-41b5-0a1f-497446dae8e3","72c24b7a-616e-9ed1-0d84-6930486a21d0","reese.ibarra_partner7.example.com#EXT#@example.onmicrosoft.com","Office 365 SharePoint Online","Microsoft Teams Services","203.0.113.221","Sydney","AU","Browser","False","53003","failure"
"2026-01-21T17:55:45Z","5b4b378d-7e2b-9aa8-b895-f8753daf78a9","f0ce2995-b75c-3458-aae5-9fdcf46dd40d","reese.moreau_partner6.example.com#EXT#@example.onmicrosoft.com","OneDrive SyncEngine","Office 365 SharePoint Online","203.0.113.163","Toronto","CA","Browser","False","0","success"
"2026-01-22T16:58:41Z","13a5e825-a66a-d16a-f966-badd90bfd64c","4e84cc4d-d6d1-248d-50ab-8724b6a35057","blair.jovanovic_partner10.example.com#EXT#@example.onmicrosoft.com","SharePoint Online Web Client Extensibility","Microsoft Graph","203.0.113.44","Seattle","US","Browser","True","0","success"
