"RecordIdentity","Happened","EventDate","Activity","ActivityRaw","ActivityCategory","Workload","Application","User","UserType","ItemName","FilePath","FullUrl","FileExtension","DeviceName","Platform","SensitivityLabel","OldSensitivityLabel","SensitivityLabelPolicyId","LabelEventType","IsLabelDowngrade","HowApplied","Justification","IsProtected","IsProtectedBefore","ProtectionEventType","ProtectionType","ProtectionOwner","RMSEncrypted","RetentionLabel","OldRetentionLabel","SensitiveInfoTypeName","SensitiveInfoTypeCount","SensitiveInfoTypeConfidence","PolicyId","PolicyName","PolicyMode","RuleId","RuleName","RuleActions","EnforcementMode","FalsePositive","DlpPolicyMatchId"
"ae-00110","2026-08-07T00:46:41Z","2026-08-07","CopilotInteraction","CopilotInteraction","Ai","Teams","Microsoft 365 Copilot","kai.takahashi@example.com","Member","","","","","","","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00113","2026-08-07T12:39:13Z","2026-08-07","CopilotInteraction","CopilotInteraction","Ai","Teams","Microsoft 365 Copilot","finley.fontaine@example.com","Member","","","","","","","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00086","2026-08-07T19:57:51Z","2026-08-07","DLPRuleMatch","DLPRuleMatch","Dlp","SharePoint","","quinn.quintero@example.com","Member","Contract Draft.docx","","","","","","","","","","False","","Approved by manager for external audit","","","","","","","","","U.S. Social Security Number (SSN)","1","74","189fed24-28ac-c608-3c17-2aa64ff3a767","Teams DLP","","21f23e39-6465-59a7-8534-691dcae364f2","Notify on SSN in chat","BlockAccess;NotifyUser","Enable","False","624547ca-6029-d9b5-d668-60a384193d99"
"ae-00130","2026-08-07T20:26:18Z","2026-08-07","FileCopiedToRemovableMedia","FileCopiedToRemovableMedia","Endpoint","Endpoint","","reese.takahashi@example.com","Member","Statement of Work.docx","","","","DESKTOP-87391","Windows","","","","","False","","","","","","","","","","","","0",,"","","","","","","","",""
"ae-00006","2026-08-07T22:51:31Z","2026-08-07","LabelApplied","LabelApplied","Labeling","OneDrive","","tatum.abara@example.com","Member","Statement of Work.docx","/sites/team/Statement of Work.docx","https://example.sharepoint.com/sites/team/Statement of Work.docx","docx","","Web","1ac35c60-c612-58ca-feb0-4ef8de7eb39e","","","LabelApplied","False","Manual","","False","","","","","","","","","0",,"","","","","","","","",""
"ae-00017","2026-08-07T23:42:20Z","2026-08-07","LabelApplied","LabelApplied","Labeling","Exchange","","finley.moreau@example.com","Member","Contract Draft.docx","/sites/team/Contract Draft.docx","https://example.sharepoint.com/sites/team/Contract Draft.docx","docx","","Web","3d209d36-8590-d697-ad0d-c52f2701fb6d","","","LabelApplied","False","Manual","","False","","","","","","","","","0",,"","","","","","","","",""
"ae-00058","2026-08-08T07:11:29Z","2026-08-08","NewProtection","NewProtection","Protection","Exchange","","marlowe.delacroix@example.com","Member","Architecture Review.pptx","","","","","","","","","","False","","","","","","Rms","marlowe.delacroix@example.com","True","","","","0",,"","","","","","","","",""
"ae-00033","2026-08-08T18:27:39Z","2026-08-08","LabelApplied","LabelApplied","Labeling","SharePoint","","finley.haddad@example.com","Member","Customer List.xlsx","/sites/team/Customer List.xlsx","https://example.sharepoint.com/sites/team/Customer List.xlsx","xlsx","","Web","83adde07-8456-5e59-de16-c4f56be4a287","","","LabelApplied","False","Manual","","True","","","","","","","","","0",,"","","","","","","","",""
"ae-00038","2026-08-09T08:11:07Z","2026-08-09","LabelApplied","LabelApplied","Labeling","OneDrive","","reese.rasmussen@example.com","Member","Contract Draft.docx","/sites/team/Contract Draft.docx","https://example.sharepoint.com/sites/team/Contract Draft.docx","docx","","Web","2e285a4a-6045-6ffe-d3c8-3fdf369ff82f","","","LabelApplied","False","Manual","","True","","","","","","","","","0",,"","","","","","","","",""
"ae-00020","2026-08-09T15:59:10Z","2026-08-09","LabelApplied","LabelApplied","Labeling","Exchange","","quinn.petrov@example.com","Member","Customer List.xlsx","/sites/team/Customer List.xlsx","https://example.sharepoint.com/sites/team/Customer List.xlsx","xlsx","","Web","3d209d36-8590-d697-ad0d-c52f2701fb6d","","","LabelApplied","False","Manual","","False","","","","","","","","","0",,"","","","","","","","",""
