"RecordId","CreationTime","EventDate","Operation","RecordType","Workload","UserId","UserKey","UserType","AppHost","AppIdentity","AgentId","AgentName","ThreadId","ResourceId","ResourceName","ResourceType","ResourceAction","SiteUrl","ListItemUniqueId","SensitivityLabelId","Status","AccessBlocked","XpiaDetected","PolicyId","PolicyName","PolicyRules"
"copilot-00032","2026-08-07T09:38:45Z","2026-08-07","CopilotInteraction","CopilotInteraction","Teams","4ada376a-ecf6-cde8-b965-f829b48b9f31","gray.silva@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","b93dbb72-b520-c845-664d-d61a46765907","4ff32814-24eb-16b6-ba2e-7308cfead6e4","Customer List.xlsx","Message","Read","https://example.sharepoint.com/sites/team","c2cc9baa-427c-2a28-23fc-76b4f7d3f2d6","83adde07-8456-5e59-de16-c4f56be4a287","success","False","False","","",""
"copilot-00032","2026-08-07T09:38:45Z","2026-08-07","CopilotInteraction","CopilotInteraction","Teams","4ada376a-ecf6-cde8-b965-f829b48b9f31","gray.silva@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","b93dbb72-b520-c845-664d-d61a46765907","935e857a-694a-9034-8fb2-ac1e6212778b","Pricing Model.xlsx","Message","Read","https://example.sharepoint.com/sites/team","de802a5c-9bb9-0716-4109-6d923bf8268e","3d209d36-8590-d697-ad0d-c52f2701fb6d","success","False","False","","",""
"copilot-00016","2026-08-07T11:24:51Z","2026-08-07","CopilotInteraction","CopilotInteraction","SharePointOnline","6eeb9fdf-ba96-d64c-2ec8-f7c9ec3a3d85","logan.eriksen@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","4a69760c-43c5-f555-29e9-44e6743d36b3","9110a627-6837-6179-cd5b-e1cf4570608b","Pricing Model.xlsx","File","Read","https://example.sharepoint.com/sites/team","56dcd199-fa45-19d3-176c-a52534f75198","9886dcbf-aabd-d9c4-265f-ef3ab241a870","success","False","False","","",""
"copilot-00035","2026-08-08T04:28:22Z","2026-08-08","CopilotInteraction","CopilotInteraction","Word","fe2779d4-0c57-fc16-069b-0340152f0b57","marlowe.ibarra@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","4b7a430f-72c2-616e-d19e-0d846930486a","4b54e4cc-989f-b834-915c-fd0ca345d676","Customer List.xlsx","File","Read","https://example.sharepoint.com/sites/team","ea0d8ecd-bdea-d24e-4b68-34438b277f7e","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","failure","True","False","0abbe980-f1e9-fe93-e9cd-53dcd96c58f2","Copilot data protection","Block Copilot on Restricted label"
"copilot-00024","2026-08-08T14:16:28Z","2026-08-08","CopilotInteraction","CopilotInteraction","SharePointOnline","9a5a522a-f1af-11ac-46d5-7bb44a6d6916","indigo.petrov@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","b2ce48ba-d21e-9e3f-e584-a4b37d6cb3af",,,,,,,,,,,,,
"copilot-00027","2026-08-09T03:38:30Z","2026-08-09","CopilotInteraction","CopilotInteraction","SharePointOnline","4ada376a-ecf6-cde8-b965-f829b48b9f31","gray.silva@example.com","Regular","Copilot","Microsoft 365 Copilot","57633c55-412a-1462-5a37-ebfbbc646e9c","Sales Q&A Agent","3e8177ad-32e4-dd19-8319-3496ebe7e45f",,,,,,,,,,,,,
"copilot-00006","2026-08-09T05:53:13Z","2026-08-09","CopilotInteraction","CopilotInteraction","Outlook","1902d00f-9d72-e088-e671-a3c33c8c48ca","parker.bergstrom@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","a35a99d5-ebe7-f2e1-6dcf-ab5ade946f9b","089edc0b-6d16-1364-c57e-a32e41e25caf","Customer List.xlsx","ListItem","Read","https://example.sharepoint.com/sites/team","58da4f8d-95f1-de62-cc20-e739d9125cef","4a702759-637a-b5af-97e9-f3b3d78fa6bd","success","False","False","","",""
"copilot-00033","2026-08-09T19:12:38Z","2026-08-09","CopilotInteraction","CopilotInteraction","Teams","bb1608e0-ce2f-089c-4344-a546432aedce","drew.okonkwo@example.com","Regular","Copilot","Microsoft 365 Copilot","fca66b8d-5815-f4d5-35ec-60b7ebd7f9d9","HR Policy Agent","a2285b3e-e7e1-3893-3a82-bb57c661e384","b901c027-069f-a037-16f8-727cb325864f","Contract Draft.docx","Message","Read","https://example.sharepoint.com/sites/team","efae95e1-a0f0-1f40-ed96-f06d0225ae7e","8ae0c067-5ed0-e6f6-aa72-965b6c4b9844","success","False","False","","",""
"copilot-00004","2026-08-10T05:12:14Z","2026-08-10","CopilotInteraction","CopilotInteraction","Outlook","1228e9ec-0543-bede-1349-9a4934de4f80","oakley.nakamura@example.com","Regular","Copilot","Microsoft 365 Copilot","3109e40b-0be8-a54c-48f3-2812e6c28854","Microsoft 365 Copilot Chat","f139e5c7-6d27-560f-8e9e-ae6ec0c7f9d7","138c829c-8ace-9ab0-141f-43245e88b499","Customer List.xlsx","Message","Read","https://example.sharepoint.com/sites/team","7daafc69-8268-8940-ca0e-5f738ae095ef","4a702759-637a-b5af-97e9-f3b3d78fa6bd","success","False","False","","",""
"copilot-00015","2026-08-11T04:10:19Z","2026-08-11","CopilotInteraction","CopilotInteraction","SharePointOnline","8e8e478f-c884-7d82-2153-ca75421c1b52","oakley.moreau@example.com","Regular","Copilot","Microsoft 365 Copilot","57633c55-412a-1462-5a37-ebfbbc646e9c","Sales Q&A Agent","c44126ec-b1fe-861f-7e39-bb3ffd6f19d4","e1d3facc-4e34-6695-5a43-29439156b889","Statement of Work.docx","Message","Read","https://example.sharepoint.com/sites/team","97e46720-ab20-233b-bd5e-fde0e25ce7b0","2e285a4a-6045-6ffe-d3c8-3fdf369ff82f","success","False","False","","",""
